TypeStay,GuestNationality,Region,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nights stay,Denmark,Region Midtjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41545,46355,46628,49399,45324,56899,0
Nights stay,Denmark,Region Midtjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21643,14145,16316,14918,14337,19498,0
Nights stay,Denmark,Region Midtjylland,December,41999,33187,35851,36322,36561,45243,42009,50983,45657,46683,46950,54625,58785,59865,75223,75999,91663,87704,73988,67942,76412,64216,61428,27439,12965,14122,14058,13892,13754,0
Nights stay,Denmark,Region Nordjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6302,7522,6739,7358,7641,8248,7632
Nights stay,Denmark,Region Nordjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6645,7443,7346,7626,7911,8402,8604
Nights stay,Denmark,Region Nordjylland,March,8627,23405,43055,46894,25183,36491,33856,39200,50481,43260,61722,31952,38233,62271,29680,37129,75566,21657,36553,23664,30643,49755,28392,18610,33822,17363,27578,16917,12174,28648
Nights stay,Denmark,Region Nordjylland,April,64998,71911,82513,89905,77563,56222,77796,86185,112379,107115,101786,127714,131612,122398,131224,138004,145252,156449,136747,163529,143553,125076,125993,124412,117841,126118,114391,135474,88439,0
Nights stay,Denmark,Region Nordjylland,May,133635,171917,170995,141997,143766,151546,158008,169486,135036,149812,172145,164607,201422,192892,169393,211066,235227,223699,218117,182633,229292,200269,177858,194996,193248,168973,185516,171861,166250,0
Nights stay,Denmark,Region Nordjylland,June,236765,202308,205710,233842,195267,205954,210507,195810,231529,215056,198924,242673,227569,218045,230015,212603,230976,248974,233663,291789,219507,202308,225131,208475,203059,217867,187996,213737,198620,0
Nights stay,Denmark,Region Nordjylland,July,807489,733954,755705,772024,722058,773856,698187,740174,657613,708795,730056,749125,726140,667394,728109,670577,712782,696889,687623,706593,664541,663547,670342,619478,589655,557293,594635,579132,756762,0
Nights stay,Denmark,Region Nordjylland,August,218013,194966,224160,263965,237843,265042,224255,240268,224948,233329,255167,277546,283576,320166,348807,360212,332589,306885,307365,320718,308257,285130,271802,274705,268300,254279,248861,249164,294649,0
Nights stay,Denmark,Region Nordjylland,September,56468,57180,65377,61899,62625,70803,68375,78984,73507,68137,74018,88596,86401,101476,103246,103589,106011,123700,107435,98675,100168,95723,92874,89460,95352,93429,90018,92442,110180,0
Nights stay,Denmark,Region Nordjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33076,34232,35109,38357,39444,50537,0
Nights stay,Denmark,Region Nordjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8095,8697,10178,9966,9311,10266,0
Nights stay,Denmark,Region Nordjylland,December,27344,38180,42834,44183,41106,47934,47869,50891,44405,48708,52043,49560,60836,59725,51987,58249,64504,60619,52222,55290,48900,49869,44573,7635,8237,9981,10088,9658,8358,0
Nights stay,World outside Denmark,All Denmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10074,9586,8588,8571,9031,9913,1632
Nights stay,World outside Denmark,All Denmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9269,9551,7933,7293,7967,8192,2952
Nights stay,World outside Denmark,All Denmark,March,12775,13758,24170,18796,22929,52164,20035,24351,15977,17523,48520,20845,24179,59308,26643,46539,86482,39993,40313,27905,38279,55600,44052,26720,53946,22478,34218,17863,11756,4535
Nights stay,World outside Denmark,All Denmark,April,99537,115158,117085,129442,126735,106227,131903,128078,153108,128764,118538,151736,136587,92344,124538,143167,93539,134117,112506,147008,124981,94379,139280,132516,104345,148487,115334,167161,5011,0
Nights stay,World outside Denmark,All Denmark,May,217111,282367,322066,245860,277829,286175,262070,286702,184498,217637,253487,210645,266370,245765,200971,239301,252303,245263,229621,171741,227937,215248,207457,240665,240346,222061,288852,236018,11224,0
Nights stay,World outside Denmark,All Denmark,June,610378,499257,420021,517076,469687,438533,426660,366771,455861,380556,348333,406869,316444,297603,328560,342959,330772,312933,302595,379938,293766,304057,346147,318414,342620,372139,385646,458558,173961,0
Nights stay,World outside Denmark,All Denmark,July,2398061,1859861,1650976,1995596,1873304,1797826,1386284,1366567,1272800,1344210,1320093,1359816,1225295,1193852,1167950,1028041,1033449,973353,1060564,949608,861686,961377,923379,899164,920062,899350,1131015,1188547,830110,0
Nights stay,World outside Denmark,All Denmark,August,1390010,1121218,1486249,1304623,1105165,1300818,1302172,1346357,1162549,1049980,905438,1148317,1031787,934679,988895,921195,781344,763430,715025,645193,620514,589133,759299,798431,797663,786434,801548,791411,741153,0
Nights stay,World outside Denmark,All Denmark,September,154641,153896,150765,161269,165760,186907,161050,173629,164480,154837,173292,177374,169105,170111,176966,171090,164055,161918,150451,141001,154650,149342,166038,161856,181104,170780,184169,188466,231020,0
Nights stay,World outside Denmark,All Denmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68827,75177,76995,84543,99351,90465,0
Nights stay,World outside Denmark,All Denmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16974,12443,13104,13077,14480,8601,0
Nights stay,World outside Denmark,All Denmark,December,31376,42824,45927,58720,58071,67406,61979,63351,63173,74713,74799,69478,73076,99576,103726,95398,99570,99119,88057,85650,85881,107909,100434,13951,12196,15197,16986,17281,8274,0
Nights stay,World outside Denmark,Region Hovedstaden,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,707,575,1013,966,551,195
Nights stay,World outside Denmark,Region Hovedstaden,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,1046,722,915,973,714,216
Nights stay,World outside Denmark,Region Hovedstaden,March,817,523,585,806,2445,4201,1958,3329,678,3895,2145,1982,1912,7745,9808,12240,6140,11040,8296,1879,3143,8383,7388,3131,4842,3545,4089,2698,1867,551
Nights stay,World outside Denmark,Region Hovedstaden,April,2609,2718,1866,2079,2663,2973,2359,2089,2265,2556,2113,2602,2543,3378,7726,8395,5117,6329,6841,6158,6279,4533,8570,7161,6791,8332,6398,10234,535,0
Nights stay,World outside Denmark,Region Hovedstaden,May,12129,13749,14919,10548,13471,10576,8968,10340,6435,9626,8199,7617,9436,9863,14588,16969,14468,13641,14695,11702,12624,13474,15300,14421,16816,16250,21706,19194,850,0
Nights stay,World outside Denmark,Region Hovedstaden,June,56795,41487,35725,37993,42861,42786,37938,32640,37065,29785,29829,29522,25332,25127,31281,31915,31456,28564,26376,30456,26775,27984,30805,30432,33964,36489,42166,50127,7968,0
Nights stay,World outside Denmark,Region Hovedstaden,July,232110,178837,160952,158479,180328,177873,157558,153294,155971,149143,139809,129627,105158,107792,102176,95518,104853,90182,95619,97388,82286,87926,92715,90227,95626,91305,109761,125962,56224,0
Nights stay,World outside Denmark,Region Hovedstaden,August,146594,111958,126686,115874,111673,135414,135598,127865,120773,108427,89550,106217,91717,89355,86726,80616,74802,66229,65500,61044,61357,63392,86521,86467,89335,91316,91552,87311,47380,0
Nights stay,World outside Denmark,Region Hovedstaden,September,11469,9759,12391,8771,10435,11790,9910,11193,9704,13368,9646,8358,9597,10839,14014,15634,15996,14434,13328,12073,12486,12606,13169,14608,15817,15805,17513,18691,14646,0
Nights stay,World outside Denmark,Region Hovedstaden,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8352,7744,7240,6020,5988,3761,0
Nights stay,World outside Denmark,Region Hovedstaden,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377,1071,1284,1321,1106,565,0
Nights stay,World outside Denmark,Region Hovedstaden,December,1811,1669,1335,6875,3231,5910,3859,3079,3906,9563,7942,8578,9707,13235,12509,11513,16241,15863,7320,9563,10511,10486,10401,984,1000,1315,1528,1103,421,0
Nights stay,World outside Denmark,Region Sjælland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,758,894,682,1157,709,500
Nights stay,World outside Denmark,Region Sjælland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,598,491,606,790,728,573
Nights stay,World outside Denmark,Region Sjælland,March,667,570,1165,467,301,1327,824,2700,1769,378,2281,387,1152,2006,1888,2804,3811,1764,1884,1526,2161,4415,6802,973,1694,1611,1158,793,973,1114
Nights stay,World outside Denmark,Region Sjælland,April,2872,3950,2999,3031,1907,1723,2000,2245,2885,2732,3293,3401,3952,2722,2763,6194,3020,3428,5086,3795,3419,3470,6356,4585,3335,4942,3117,5177,903,0
Nights stay,World outside Denmark,Region Sjælland,May,6922,9215,10115,6154,6792,6847,4800,7305,5530,6090,7792,6912,10320,8540,7555,10632,8714,8404,8358,6701,8142,8504,10671,10063,11349,9606,11586,15633,1151,0
Nights stay,World outside Denmark,Region Sjælland,June,32626,24122,19177,22324,20706,19782,16984,17248,22143,23241,21522,21929,17477,19138,19486,23991,23313,18201,20342,22049,17345,20096,20864,20919,24236,23859,25400,30709,6542,0
Nights stay,World outside Denmark,Region Sjælland,July,141142,97418,90589,98256,94023,91749,80224,85036,102187,96179,99277,102443,90469,86097,90246,94149,87964,78251,88350,69652,63817,76563,78622,79454,80508,73812,90742,100933,38868,0
Nights stay,World outside Denmark,Region Sjælland,August,85852,63836,71319,67599,59378,64818,68253,74719,71503,63152,56287,74394,65612,63303,73396,69147,57930,59383,55761,47374,44495,47064,60520,63966,69444,59614,70294,66727,37880,0
Nights stay,World outside Denmark,Region Sjælland,September,6501,7511,5847,5761,6078,5633,5436,5625,6550,5348,6399,6716,8133,7633,8313,8786,9153,7730,6373,6765,7450,8218,8851,7456,10710,8451,8465,9645,8666,0
Nights stay,World outside Denmark,Region Sjælland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227,1805,1676,2023,2212,2593,0
Nights stay,World outside Denmark,Region Sjælland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,1623,1172,1203,949,1322,0
Nights stay,World outside Denmark,Region Sjælland,December,1507,910,759,1029,875,445,1008,787,1328,1660,1835,2382,1905,3542,4097,3276,5383,4192,3515,3905,6451,8691,5240,1101,1590,1030,875,645,1034,0
Nights stay,World outside Denmark,Region Syddanmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5648,6696,5285,5412,5128,6750,835
Nights stay,World outside Denmark,Region Syddanmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6306,6732,5308,4582,5098,5175,1823
Nights stay,World outside Denmark,Region Syddanmark,March,7919,8509,10436,9133,12196,34914,12328,14016,11006,9641,33670,13105,15934,37458,10930,23933,60515,19616,22857,17677,24615,30025,22649,15983,33059,13129,20876,10388,7019,1320
Nights stay,World outside Denmark,Region Syddanmark,April,61823,75087,83824,90328,90500,77282,92400,95686,111204,92770,86893,109432,96263,63795,81817,95707,63793,92038,74438,98332,82560,62775,88399,87044,70501,97519,78847,110814,2586,0
Nights stay,World outside Denmark,Region Syddanmark,May,141929,177024,202354,158556,184913,194755,175742,200173,123369,149033,173674,140593,179975,164893,124746,151499,167646,162857,146869,101255,144541,134467,127773,153478,148936,132616,176969,137666,7781,0
Nights stay,World outside Denmark,Region Syddanmark,June,306582,247396,218087,279114,246872,229809,226180,199095,256387,212419,190553,235760,172176,157746,180746,180662,181790,173250,158011,212542,155221,157216,186638,164957,177096,196422,197147,238762,99965,0
Nights stay,World outside Denmark,Region Syddanmark,July,921761,755350,691710,885766,819093,781206,608349,614697,553143,618573,608557,652658,598665,576190,567336,476692,484294,477265,518524,443004,405751,458989,423664,418365,421882,408441,520441,540538,421309,0
Nights stay,World outside Denmark,Region Syddanmark,August,555266,473711,659750,557523,503219,581927,611723,641836,564938,527251,450512,565951,500240,433772,471289,448569,379471,390136,354898,304550,292977,284303,361741,389874,379466,373140,387651,394064,399832,0
Nights stay,World outside Denmark,Region Syddanmark,September,83234,81150,81462,92181,98227,103708,91605,104824,98854,90699,108605,105829,103664,101894,101629,97437,92770,91677,86898,83567,83284,83191,93786,92648,101917,96179,105517,108477,126349,0
Nights stay,World outside Denmark,Region Syddanmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40362,46333,49362,55229,67967,58967,0
Nights stay,World outside Denmark,Region Syddanmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9265,7309,7474,8275,9333,5449,0
Nights stay,World outside Denmark,Region Syddanmark,December,16122,27132,30187,31425,37721,41474,43588,45565,43524,45235,48973,44056,46134,64871,62408,55008,52425,57796,56387,48588,45238,63240,60810,8516,7372,9677,11108,11743,5841,0
Nights stay,World outside Denmark,Region Midtjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1984,883,979,908,1116,1069,40
Nights stay,World outside Denmark,Region Midtjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,507,668,604,458,561,187
Nights stay,World outside Denmark,Region Midtjylland,March,2865,3728,11115,7248,6051,9259,3531,3450,1546,2489,8103,3872,3910,8532,2827,5060,9679,4882,3998,2569,4296,6825,3803,4286,7627,1951,3534,1328,774,292
Nights stay,World outside Denmark,Region Midtjylland,April,25180,26826,22470,25421,22990,16621,24076,20190,26654,22593,17678,26999,22892,15175,22340,23620,14886,21424,17372,25794,20263,13455,23273,20902,13081,20445,15054,23618,347,0
Nights stay,World outside Denmark,Region Midtjylland,May,37261,56413,64565,44709,48420,47989,47387,45284,28932,33749,42550,34527,42213,40458,33550,36743,41035,38263,37093,31258,37804,35552,32246,37522,36605,35329,45105,32087,407,0
Nights stay,World outside Denmark,Region Midtjylland,June,105238,90124,69093,88231,76135,66915,70790,57365,72333,58514,52198,60719,47761,46617,50660,51617,46332,44564,47399,60680,45808,48590,54532,49251,51332,56373,54808,67932,30051,0
Nights stay,World outside Denmark,Region Midtjylland,July,500026,381461,311547,415127,371689,352143,242010,219084,210170,222049,218270,235263,203695,185728,181439,170940,170777,165829,177814,165415,149311,164650,156754,143673,148647,152163,192163,195674,150760,0
Nights stay,World outside Denmark,Region Midtjylland,August,313963,240391,310856,297365,215984,246530,235302,242829,205150,180789,149781,199893,186292,172205,178909,163030,134426,135117,125658,121257,116971,99205,130548,134837,136075,144068,127055,120520,128315,0
Nights stay,World outside Denmark,Region Midtjylland,September,31020,33706,31113,31118,31710,37892,27722,24973,27617,24250,23973,27949,24866,26585,27221,26515,23230,26992,23793,20169,31539,25675,27551,27655,29872,27970,29629,27120,43230,0
Nights stay,World outside Denmark,Region Midtjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13633,14325,13466,14808,15480,16293,0
Nights stay,World outside Denmark,Region Midtjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4479,1323,1908,1131,1923,607,0
Nights stay,World outside Denmark,Region Midtjylland,December,9451,10726,10890,15946,12796,15981,11180,10729,11167,14272,12709,11694,11977,12163,18727,17122,18218,15578,16600,18618,18792,19742,16752,2562,1265,2161,2047,2445,393,0
Nights stay,World outside Denmark,Region Nordjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,542,855,556,664,834,62
Nights stay,World outside Denmark,Region Nordjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,668,744,586,648,1014,153
Nights stay,World outside Denmark,Region Nordjylland,March,507,428,869,1142,1936,2463,1394,856,978,1120,2321,1499,1271,3567,1190,2502,6337,2691,3278,4254,4064,5952,3410,2347,6724,2242,4560,2656,1123,1258
Nights stay,World outside Denmark,Region Nordjylland,April,7053,6577,5926,8583,8675,7628,11068,7868,10100,8113,8561,9302,10937,7274,9892,9251,6723,10898,8769,12929,12460,10145,12682,12824,10637,17250,11919,17317,640,0
Nights stay,World outside Denmark,Region Nordjylland,May,18870,25966,30113,25893,24233,26008,25173,23600,20232,19139,21272,20996,24426,22011,20532,23458,20440,22098,22606,20825,24826,23251,21468,25182,26641,28261,33486,31438,1035,0
Nights stay,World outside Denmark,Region Nordjylland,June,109137,96128,77939,89414,83113,79241,74768,60423,67933,56597,54231,58939,53698,48975,46387,54774,47881,48354,50467,54211,48617,50171,53308,52855,55992,58996,66125,71028,29435,0
Nights stay,World outside Denmark,Region Nordjylland,July,603022,446795,396178,437968,408171,394855,298143,294456,251329,258266,254180,239825,227308,238045,226753,190742,185561,161826,180257,174149,160521,173249,171624,167445,173399,173629,217908,225440,162949,0
Nights stay,World outside Denmark,Region Nordjylland,August,288335,231322,317638,266262,214911,272129,251296,259108,200185,170361,159308,201862,187926,176044,178575,159833,134715,112565,113208,110968,104714,95169,119969,123286,123343,118296,124996,122789,127746,0
Nights stay,World outside Denmark,Region Nordjylland,September,22417,21770,19952,23438,19310,27884,26377,27014,21755,21172,24669,28522,22845,23160,25789,22718,22906,21085,20059,18427,19891,19652,22682,19491,22789,22376,23046,24534,38129,0
Nights stay,World outside Denmark,Region Nordjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4253,4971,5251,6461,7703,8851,0
Nights stay,World outside Denmark,Region Nordjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,1117,1266,1147,1169,658,0
Nights stay,World outside Denmark,Region Nordjylland,December,2485,2387,2756,3445,3448,3596,2344,3191,3248,3983,3340,2768,3353,5765,5985,8479,7303,5690,4235,4976,4889,5750,7230,787,969,1014,1428,1345,585,0
Nights stay,Sweden,All Denmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,619,464,581,466,353,136
Nights stay,Sweden,All Denmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,448,507,720,492,354,133
Nights stay,Sweden,All Denmark,March,896,798,986,1118,3494,3877,1723,3171,1790,3108,2220,1971,1796,4015,4140,4880,4382,4733,2551,931,2141,3721,1748,1772,3163,1437,1849,748,509,265
Nights stay,Sweden,All Denmark,April,4388,1984,1999,2062,3253,3565,3094,3027,4122,4153,2919,3708,5926,3129,5852,7464,3847,3950,3868,4999,5033,3963,4525,6452,4319,7640,5406,6406,204,0
Nights stay,Sweden,All Denmark,May,15778,12754,11690,12535,11956,13032,12818,12553,12892,14151,12321,11449,14971,9422,10642,12654,11972,9151,9451,8700,10037,10608,13486,12632,12621,15383,15684,13177,428,0
Nights stay,Sweden,All Denmark,June,105833,59080,49570,47674,48787,59777,43131,39629,48228,43053,41975,39543,31306,29765,27773,27667,28571,20991,22285,27884,26475,31183,31792,33557,31066,31929,33184,31025,1793,0
Nights stay,Sweden,All Denmark,July,483577,245104,271660,212164,230741,253195,209124,224552,238585,198151,185795,177106,154336,134284,137273,111388,109998,70445,87145,87521,84834,96409,103726,96542,95885,94171,95079,81333,10535,0
Nights stay,Sweden,All Denmark,August,90868,53923,57496,50151,51131,63580,50282,75835,67360,53889,53398,58953,57882,51421,47332,40617,34466,23683,31217,32308,29947,33757,32630,34739,37762,37312,35157,28708,9955,0
Nights stay,Sweden,All Denmark,September,4785,3392,3185,3640,5244,6076,4784,6944,7348,6363,6372,4861,6417,8719,9163,9363,10324,5383,5684,6138,5812,6848,6306,7613,8662,8423,8003,6162,4134,0
Nights stay,Sweden,All Denmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3887,2769,2646,2743,2071,1191,0
Nights stay,Sweden,All Denmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,925,1219,1382,1015,399,0
Nights stay,Sweden,All Denmark,December,1145,1172,1121,5839,1686,4958,2439,4887,4196,3007,2981,2824,5253,10659,9079,4008,7634,6352,2560,2948,3514,4511,5380,896,1074,1098,1225,847,319,0
Nights stay,Sweden,Region Hovedstaden,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438,274,255,453,291,252,128
Nights stay,Sweden,Region Hovedstaden,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,190,310,528,360,261,111
Nights stay,Sweden,Region Hovedstaden,March,442,184,253,262,2047,3143,653,2657,391,1862,970,679,752,2209,3153,3251,1874,2243,1183,460,915,917,668,757,825,771,722,380,399,179
Nights stay,Sweden,Region Hovedstaden,April,1025,705,603,758,1746,1792,1256,607,723,858,700,480,633,994,1811,1711,894,1207,1308,1214,1315,958,1223,1521,1298,1516,1335,1334,157,0
Nights stay,Sweden,Region Hovedstaden,May,5758,5771,4418,4440,4530,4171,3851,2915,1917,2315,1747,1862,2319,1915,2843,2758,2141,2620,1894,1679,1988,2200,2597,2323,2198,4080,4499,2971,222,0
Nights stay,Sweden,Region Hovedstaden,June,22767,12161,11194,9391,10687,12777,11798,8293,8521,7157,6220,5767,4842,5018,4676,4938,5515,4211,3785,4582,3851,4940,4972,5122,4373,4790,6066,5490,670,0
Nights stay,Sweden,Region Hovedstaden,July,114406,57367,57178,39373,52495,53783,51818,53541,58985,44114,39385,36206,27629,25246,25176,19850,24355,13401,16019,13520,13151,14906,17001,14248,14569,13910,13916,13971,2616,0
Nights stay,Sweden,Region Hovedstaden,August,24174,15923,13795,12173,12862,18218,14354,15577,16434,12872,10722,12403,12370,11049,8558,8591,8188,5575,5592,5342,5337,6724,7637,7582,6782,8728,9014,7523,3012,0
Nights stay,Sweden,Region Hovedstaden,September,1102,977,852,1175,2331,1850,1326,2397,1608,1234,1077,896,1972,2239,1730,2466,2481,1678,1600,1787,1506,1822,1819,2079,1808,2275,2171,1997,1513,0
Nights stay,Sweden,Region Hovedstaden,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,916,1067,1108,751,652,0
Nights stay,Sweden,Region Hovedstaden,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,356,500,601,428,303,0
Nights stay,Sweden,Region Hovedstaden,December,622,330,456,5321,1081,3927,1884,1792,1782,1344,1255,1371,2778,4513,3844,2339,3451,2715,1439,1459,1491,1569,1902,309,468,475,581,409,252,0
Nights stay,Sweden,Region Sjælland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,128,44,37,78,28,8
Nights stay,Sweden,Region Sjælland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,61,33,38,25,27,0
Nights stay,Sweden,Region Sjælland,March,310,243,655,176,18,51,203,157,1146,134,109,49,118,162,162,306,1020,180,1083,170,404,471,430,280,402,218,200,92,54,15
Nights stay,Sweden,Region Sjælland,April,358,352,539,256,238,125,88,338,427,407,292,455,1510,457,536,2549,596,520,744,681,897,768,868,971,849,1264,772,877,7,0
Nights stay,Sweden,Region Sjælland,May,797,895,855,459,506,1122,392,810,1201,742,782,654,3405,1121,1160,3155,1576,1036,1251,930,1444,1465,1644,1415,1370,1491,1805,2699,53,0
Nights stay,Sweden,Region Sjælland,June,7323,3721,2825,2915,2671,3152,2581,3066,3813,4341,3934,3572,3652,3148,2866,4800,3693,2078,2503,3239,2677,2885,2967,3149,3098,2961,3121,3133,291,0
Nights stay,Sweden,Region Sjælland,July,26909,13996,19043,11940,13140,16671,16431,21720,33157,25327,23860,22010,21795,15926,16756,18312,16254,8715,11031,9578,10064,12367,12777,12872,11976,11129,11299,9899,1397,0
Nights stay,Sweden,Region Sjælland,August,6322,4791,4214,2797,3068,4180,3871,5142,8560,5551,6054,6673,8079,5795,5847,6462,4133,2985,3812,3356,3663,3853,3675,4179,4727,3948,3700,3063,1505,0
Nights stay,Sweden,Region Sjælland,September,397,547,412,329,392,391,281,542,974,609,804,582,1156,928,882,2442,1047,930,868,889,825,1213,757,1093,1242,1136,1034,940,548,0
Nights stay,Sweden,Region Sjælland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,262,324,252,239,66,0
Nights stay,Sweden,Region Sjælland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,107,161,198,57,66,0
Nights stay,Sweden,Region Sjælland,December,242,360,225,69,131,99,59,312,403,411,354,167,281,478,494,306,1474,692,305,361,445,1156,613,72,44,66,114,53,48,0
Nights stay,Sweden,Region Syddanmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,163,136,66,35,27,0
Nights stay,Sweden,Region Syddanmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,102,113,73,93,36,22
Nights stay,Sweden,Region Syddanmark,March,32,282,22,36,107,37,57,112,25,701,852,629,514,1168,604,1184,1157,1146,122,136,453,737,198,454,1174,258,582,83,26,27
Nights stay,Sweden,Region Syddanmark,April,2214,183,378,178,127,545,1034,1361,2032,2078,1411,1646,2123,1197,1541,2321,1215,1295,1361,1801,1546,1301,1289,2173,1330,3277,1986,2878,23,0
Nights stay,Sweden,Region Syddanmark,May,4648,2385,2815,3733,3441,4049,4451,5135,6273,7271,6955,6066,5979,4610,4170,4471,6294,3843,4320,3610,4613,4872,6287,5939,6220,7030,6695,5569,129,0
Nights stay,Sweden,Region Syddanmark,June,31251,17192,13960,13103,15981,23129,13826,14345,19288,18127,19837,18590,14003,12569,11333,11341,13138,10001,10282,14285,13400,15133,15247,16517,15841,17563,16247,15418,410,0
Nights stay,Sweden,Region Syddanmark,July,99770,52390,50132,41922,48222,52714,51270,61425,67042,59513,57558,56463,50896,41708,42868,37172,36624,26836,33536,35384,35053,38899,42881,39896,40490,39314,37885,31858,5027,0
Nights stay,Sweden,Region Syddanmark,August,17712,10334,11040,8551,10617,11264,11080,27939,20798,17882,20300,22571,19932,17120,18261,13211,13129,9727,12290,13738,11735,13069,11727,13296,14096,13655,12021,10672,3612,0
Nights stay,Sweden,Region Syddanmark,September,1956,588,634,733,1046,1182,1409,2630,3094,2547,2891,2316,1875,3973,5159,3451,5216,1888,2200,2112,2044,2233,2549,3009,3676,3380,3106,2088,1228,0
Nights stay,Sweden,Region Syddanmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,1195,875,837,760,312,0
Nights stay,Sweden,Region Syddanmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,298,434,347,498,24,0
Nights stay,Sweden,Region Syddanmark,December,69,58,74,124,120,145,322,2302,970,867,1105,1009,1357,3970,4057,1047,985,2071,602,885,999,735,1892,404,481,521,478,298,19,0
Nights stay,Sweden,Region Midtjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,47,22,18,46,44,0
Nights stay,Sweden,Region Midtjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,10,39,60,14,9,0
