TypeStay,GuestNationality,Region,Month,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Nights stay,Total,Region Sjælland,June,301472,253342,236742,272690,226243,231220,214735,172563,211335,208821,183563,246056,172106,187750,207617,202968,217539,204231,199187,240688,165369,170618,196358,176043,183097,195704,185888,198375,171914,0
Nights stay,Total,Region Sjælland,July,640473,533640,560392,597947,559309,618964,512202,497318,473479,489971,497877,524934,469449,448097,487979,457685,480697,464836,480446,434778,404179,445361,451823,449899,451183,417328,437967,446467,450568,0
Nights stay,Total,Region Sjælland,August,318234,246180,256674,275661,257466,270418,235554,254767,234124,227695,248638,269743,251829,263073,280844,297868,267464,276443,260434,242854,228920,242286,247050,257315,266371,244873,266130,252385,250902,0
Nights stay,Total,Region Sjælland,September,99304,94616,79256,74525,77996,79340,71709,72675,73423,73230,97248,96925,102795,107985,119104,118932,115154,117783,105736,102287,99493,94268,101777,98975,110633,105283,99824,101957,111335,0
Nights stay,Total,Region Sjælland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44085,44635,39166,39707,40874,46214,0
Nights stay,Total,Region Sjælland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20615,20679,20332,20458,19962,21374,0
Nights stay,Total,Region Sjælland,December,37018,33257,26295,24275,24875,25908,26410,27961,30539,32651,39005,51868,56843,71339,73837,78128,90390,100016,80301,81437,72618,80093,80990,17985,20127,17772,17856,18534,17899,0
Nights stay,Total,Region Syddanmark,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24011,29307,26702,25874,26621,29811,22810
Nights stay,Total,Region Syddanmark,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24058,28799,24720,24997,27354,28263,26269
Nights stay,Total,Region Syddanmark,March,42882,33694,35194,26456,32854,79730,43313,41002,39440,40228,106773,55318,51592,118094,45553,67707,206488,75832,118889,83375,106423,119891,92588,70142,125248,60299,90605,54203,41556,64634
Nights stay,Total,Region Syddanmark,April,152947,183188,192315,206641,206214,180401,208958,227708,270131,239548,230231,304330,282308,226965,274069,327327,264921,341187,318784,399040,337178,271146,336416,334698,284425,349323,296299,353901,152933,0
Nights stay,Total,Region Syddanmark,May,349893,413910,426916,357132,410810,424343,398591,464199,320352,393049,425674,393151,490054,463569,397165,486976,538078,538880,530336,399441,532076,481833,448419,514460,490880,464773,531527,430029,315523,0
Nights stay,Total,Region Syddanmark,June,666073,559801,510811,587350,542871,518997,540377,483781,619841,536718,479638,619243,476860,446343,521172,487765,567618,550292,514710,674325,497665,497387,571414,512735,524689,562058,550985,602959,433309,0
Nights stay,Total,Region Syddanmark,July,2045228,1740082,1713575,1944536,1803185,1813924,1514098,1616822,1471616,1605149,1615873,1780601,1660868,1545263,1631804,1451100,1563627,1543528,1579035,1468451,1326199,1426272,1450310,1375269,1346178,1298550,1454279,1440912,1603467,0
Nights stay,Total,Region Syddanmark,August,920609,798476,1015339,945030,875540,966860,940741,1004391,901581,893663,846699,1007494,914346,835916,933346,941958,844278,851850,811362,738267,732704,728135,773985,831520,813266,794358,822162,806750,913136,0
Nights stay,Total,Region Syddanmark,September,187084,173012,181820,203304,214934,225395,198423,240123,222914,212607,254384,255084,250461,256281,268652,264869,276339,285409,274063,265741,269977,262979,282038,284804,312949,296694,301149,293540,341113,0
Nights stay,Total,Region Syddanmark,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140571,148957,145264,160185,161043,173889,0
Nights stay,Total,Region Syddanmark,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38657,35950,35119,36778,38250,36751,0
Nights stay,Total,Region Syddanmark,December,60072,66035,72064,69178,84933,99012,107635,117498,111761,120910,134644,128752,141795,173666,181103,185435,195487,215797,186313,182188,173648,197436,193647,33653,33435,36429,36872,38627,35659,0
Nights stay,Total,Region Midtjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11843,24207,12281,12958,13406,13369,12054
Nights stay,Total,Region Midtjylland,February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12448,19393,14059,12898,13354,13999,14189
Nights stay,Total,Region Midtjylland,March,26033,36298,39563,30132,25998,39399,21844,27487,24414,26853,69401,31147,32585,74626,27991,39325,107792,43378,59340,33880,48868,66201,44515,32858,57538,28090,36203,24960,19137,43237
Nights stay,Total,Region Midtjylland,April,130301,145131,140992,145869,140207,117116,143592,150283,171975,159899,161461,201823,187220,159493,180888,225365,178844,197693,173844,214179,186582,172021,202908,185398,160430,183428,162579,189196,113723,0
Nights stay,Total,Region Midtjylland,May,276304,340503,316449,263776,273311,276293,280587,284692,210213,245808,292864,247410,321499,307821,265627,326028,349548,331367,308662,241484,308200,299055,270540,295704,286382,276558,297270,240094,237542,0
Nights stay,Total,Region Midtjylland,June,461723,375430,339614,379886,345590,334899,356069,296564,383016,345109,317499,385911,290399,295696,339926,303386,342615,324954,303715,385927,281347,303558,362489,312205,309979,323858,307089,334894,282749,0
Nights stay,Total,Region Midtjylland,July,1298452,1157342,1119943,1236492,1158474,1175217,946709,953738,896269,952736,972809,1006096,941445,846631,893350,827227,899702,876293,891176,847691,785389,865941,897216,804489,772341,755821,851545,837009,958320,0
Nights stay,Total,Region Midtjylland,August,601436,528632,604616,628154,542478,596677,520629,535045,477550,473177,456824,529724,494210,502624,527057,538687,470147,473030,448387,447605,441020,429229,442565,456386,447194,454184,436892,418440,483486,0
Nights stay,Total,Region Midtjylland,September,139787,146141,136538,132872,145931,149338,136256,147320,143981,132725,158400,159254,151124,171822,178616,179655,169025,179687,156193,148427,165449,149032,162690,156179,168625,164124,158970,147018,189608,0
Nights stay,Total,Region Midtjylland,October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55178,60680,60094,64207,60804,73192,0
Nights stay,Total,Region Midtjylland,November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26122,15468,18224,16049,16260,20105,0
Nights stay,Total,Region Midtjylland,December,51450,43913,46741,52268,49357,61224,53189,61712,56824,60955,59659,66319,70762,72028,93950,93121,109881,103282,90588,86560,95204,83958,78181,30001,14230,16283,16105,16337,14147,0
Nights stay,Total,Region Nordjylland,January,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7525,8064,7594,7914,8305,9082,7694
